problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected_knowledge,log-position,last-position,sequence,score
dibstudent03--2016-09-24--23-01.log-7,4.2120371204,-0.3753098313,0.2859251136,-0.488242589,-0.2058662249,0.2134933391,2.2370719425,-0.3554813751,-0.7453368284,-0.0849678655,-1.0034378582,-1.1869082721,0.6883594209,4.5651001146,0.0360272919,-0.2836421386,-0.5173876397,-1.1503836119,-0.9678285423,1,33,36,dibstudent03--2016-09-24--23-01.log,1.40962776327202
dibstudent03--2016-09-24--23-01.log-8,3.9764870842,-0.3753098313,-0.7047755645,-0.488242589,-0.1755387794,0.2134933391,2.2370719425,-0.3995560368,-0.7392842226,-0.0849678655,-0.9072654076,0.9372741394,0.6883594209,-0.1444585767,-0.1340952822,-0.2836421386,-0.5173876397,0.956849521,-0.9187272165,1,33,36,dibstudent03--2016-09-24--23-01.log,2.17847184067776
dibstudent03--2016-09-24--23-01.log-9,3.740937048,-0.3753098313,-0.7047755645,-0.488242589,-0.1393732711,0.2134933391,2.2370719425,-0.376674017,-0.7369338485,-0.0849678655,-0.811092957,0.9372741394,0.6883594209,-0.1444585767,-0.0966038144,-0.2836421386,-0.5173876397,0.956849521,-0.8696258907,1,33,36,dibstudent03--2016-09-24--23-01.log,2.06972879941341
dibstudent03--2016-09-25--15-42.log-0,1.6209867222,-0.3753098313,-0.7047755645,-0.488242589,5.415163866,-1.1041023034,-0.1105679236,-0.2402265875,-0.9284893361,-0.2287887475,-1.713124218,-0.1248170664,1.0148384605,-0.1053583515,-0.1405454272,-1.275846248,-1.3333285205,0.956849521,-1.3115378229,0,33,36,dibstudent03--2016-09-25--15-42.log,-0.109659732118209
dibstudent03--2016-09-25--15-42.log-1,1.3854366861,-0.3753098313,-0.7047755645,-0.488242589,0.4230836601,-1.1041023034,-0.1105679236,-0.3451037683,-0.9124581098,-0.2287887475,-1.6534309728,0.9372741394,1.0148384605,-0.1444585767,-0.1405454272,-1.275846248,-1.3333285205,0.956849521,-1.2624364971,0,33,36,dibstudent03--2016-09-25--15-42.log,-0.10638008071679
dibstudent03--2016-09-25--15-42.log-10,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,0.6005072702,0.9493362328,1.0632520095,-0.2152479291,-0.8537314745,-0.2238294067,-1.1161917659,-0.1248170664,-0.6175567376,-0.0669265062,-0.1091009703,-0.2836421386,-0.8412725695,0.956849521,-0.8205245649,1,33,36,dibstudent03--2016-09-25--15-42.log,-0.516504255842828
dibstudent03--2016-09-25--15-42.log-11,4.6831371928,-0.3753098313,0.2859251136,-0.488242589,0.456667873,0.3263934443,1.0632520095,-0.3877605592,-0.835226859,-0.2039920437,-1.0564985207,-1.1869082721,-0.291077698,0.4552936383,-0.0462120567,0.7085619708,0.1428393326,-1.1503836119,-0.7714232391,1,33,36,dibstudent03--2016-09-25--15-42.log,2.09649878677069
dibstudent03--2016-09-25--15-42.log-12,4.4475871566,-0.3753098313,-0.7047755645,-0.488242589,0.5038994284,0.3263934443,1.0632520095,-0.1094204733,-0.831995749,-0.2039920437,-0.9968052754,0.9372741394,-0.291077698,-0.1444585767,-0.1405454272,0.7085619708,0.1428393326,0.956849521,-0.7223219133,1,33,36,dibstudent03--2016-09-25--15-42.log,2.6848331108507
dibstudent03--2016-09-25--15-42.log-13,4.2120371204,-0.3753098313,-0.2094252255,-0.488242589,0.333773475,0.3416410866,-0.1105679236,-0.2508304503,-0.8044730779,-0.2172169524,-0.9371120302,0.9372741394,2.3207546189,-0.1444585767,-0.0966038144,0.7085619708,0.1428393326,-0.0967670454,-0.6732205875,1,33,36,dibstudent03--2016-09-25--15-42.log,1.91081054810125
dibstudent03--2016-09-25--15-42.log-14,3.9764870842,-0.3753098313,-0.2094252255,-0.488242589,0.2942542985,0.8965774532,1.0632520095,-0.3780918877,-0.7893618476,-0.1973795894,-0.877418785,-0.3372353075,2.6472336585,0.2944729838,-0.1405454272,0.7085619708,0.1428393326,0.956849521,-0.6241192617,1,33,36,dibstudent03--2016-09-25--15-42.log,1.80063436849234
dibstudent03--2016-09-25--15-42.log-15,3.740937048,-0.3753098313,-0.7047755645,-0.488242589,0.323468726,0.8965774532,1.0632520095,-0.349100957,-0.7850680963,-0.1973795894,-0.8177255398,0.9372741394,2.6472336585,-0.1444585767,-0.0716095026,0.7085619708,0.1428393326,0.956849521,-0.5750179359,1,33,36,dibstudent03--2016-09-25--15-42.log,2.07554162625236
dibstudent03--2016-09-25--15-42.log-16,3.5053870118,-0.3753098313,-0.7047755645,-0.488242589,0.3360799421,0.8965774532,1.0632520095,-0.3781069715,-0.7782787084,-0.1973795894,-0.7580322946,0.9372741394,2.6472336585,-0.1444585767,-0.0776565135,0.7085619708,0.1428393326,0.956849521,-0.5259166101,1,33,36,dibstudent03--2016-09-25--15-42.log,1.96279242913481
dibstudent03--2016-09-25--15-42.log-17,3.2698369756,-0.3753098313,-0.7047755645,-0.488242589,0.3601185554,0.8965774532,1.0632520095,-0.3778656318,-0.7736577892,-0.1973795894,-0.6983390494,0.9372741394,2.6472336585,-0.1444585767,0.0295771469,0.7085619708,0.1428393326,0.956849521,-0.4768152843,1,33,36,dibstudent03--2016-09-25--15-42.log,1.85607703566482
dibstudent03--2016-09-25--15-42.log-18,3.0342869394,-0.3753098313,-0.7047755645,-0.488242589,0.3845518982,0.8965774532,1.0632520095,-0.3882281549,-0.7693430991,-0.1973795894,-0.6386458042,0.9372741394,2.6472336585,-0.1444585767,-0.0712063685,0.7085619708,0.1428393326,0.956849521,-0.4277139585,1,33,36,dibstudent03--2016-09-25--15-42.log,1.74229565551352
